Date,LastOpen,LastHigh,LastLow,Close,Adj Close,Volume
737541,45.709999,48.860001,45.509998,47.25,47.25,7712100
737541,47.110001,49.889999,46.715,52.25,52.25,10167200
737542,48.380001,52.650002,47.759998,50.880001,50.880001,5507200
737543,52.997002,54,49.599998,47.27,47.27,5698000
737544,49,49.25,46.509998,47.02,47.02,6282200
737548,46.970001,48,43.939999,44.389999,44.389999,6337100
737549,44.5,45.59,42.919998,45.099998,45.099998,2912000
737550,45.200001,45.549999,44.110001,42.970001,42.970001,4391000
737551,44.919998,45.740002,42.709999,43.02,43.02,2846700
737554,43.77,44.439999,42.383999,43.950001,43.950001,3478300
737555,43.650002,44.639999,43.209999,45.389999,45.389999,5054500
737556,45,46.389999,44.900002,44.150002,44.150002,3187400
737557,45.52,45.650002,43.740002,44.220001,44.220001,3493400
737558,42.771,44.23,42.540001,43.080002,43.080002,5182500
737561,44.470001,44.549999,41.639999,43.09,43.09,3246900
737562,41.669998,43.130001,41.400002,43.310001,43.310001,2941000
737563,43.34,43.549999,42.400002,41.849998,41.849998,2661000
737564,43.02,43.150002,41.220001,41.889999,41.889999,3312600
737565,41.43,42.259998,40.400002,42.200001,42.200001,2577500
737568,41.66,42.450001,41.220001,41.810001,41.810001,2823900
737569,42.619999,43.009998,40.889999,40.66,40.66,2846400
737570,41.82,41.955002,40.41,41.599998,41.599998,2877000
737571,40.779999,42.369999,40.610001,42.509998,42.509998,3063400
737572,42.349998,43.02,41.630001,41.799999,41.799999,1936100
737575,41.200001,42.25,41.099998,45.099998,45.099998,7036100
737576,42.5,45.549999,42.400002,48.169998,48.169998,8172000
737577,46.25,48.450001,45.790001,47.669998,47.669998,3126300
737578,48.130001,48.700001,47.470001,46.599998,46.599998,2574000
737579,48.41,48.41,46,48.419998,48.419998,2132100
737582,47.259998,48.560001,46.84,47.880001,47.880001,3170400
737583,49.43,49.57,47.465,47.66,47.66,2064300
737584,48.57,48.93,46.810001,43.689999,43.689999,8144300
737585,46.709999,46.799999,43.599998,43.759998,43.759998,3621200
737586,44.169998,44.189999,43.060001,43.82,43.82,3446700
737589,44.779999,44.779999,43.25,44,44,4005100
737590,44,45.139999,43.790001,45.240002,45.240002,3073100
737591,44.25,45.490002,44.066002,45.16,45.16,3502800
737592,45.375,45.93,44.650002,45.299999,45.299999,3560300
737593,45.98,46.07,44.110001,44.439999,44.439999,4761900
737596,45.400002,45.470001,43.93,45,45,2775300
737597,43.779999,45,43.73,45.82,45.82,2791900
737598,45,45.98,44.669998,44.369999,44.369999,4176600
737599,45.200001,45.400002,43.610001,46.41,46.41,3515900
737600,45.029999,47.369999,44.849998,44.669998,44.669998,2884100
737602,45.400002,46.689999,44.32,44.459999,44.459999,2468300
737603,45.150002,45.310001,43.209999,44.619999,44.619999,1980100
737604,43.970001,45.130001,42.919998,48.16,48.16,6741200
737605,45.580002,48.279999,45.580002,46.060001,46.060001,8589400
737606,49,49.18,44.599998,48.869999,48.869999,7054700
737609,46.049999,48.939999,45.099998,46.040001,46.040001,5775800
737610,49.779999,49.790001,46.009998,43.700001,43.700001,8128400
737611,45.48,45.810001,42.700001,44.200001,44.200001,5303500
737612,44.419998,45.66,43.639999,45.900002,45.900002,5024900
737613,45.540001,46.549999,43.880001,48.900002,48.900002,6010400
